title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
Debtty Daddy,debtty,A,1263,122.32,16.6,10.226,2.4,155.0,155.0,1.0,43.2,40.9,34.4,3.3,20.0,10.5,0.0,152.3,1263,1031.5,,,,,
Deceive Your Insight,deceive,A,949,104.92,15.0,9.2451,2.6,190.0,190.0,1.0,33.5,35.7,35.0,14.8,14.6,5.9,0.0,139.5,949,874.5,,,,,
DEEP ROAR,dproar30,A,1387,114.27,15.8,11.9774,2.2,165.0,165.0,1.0,42.2,57.4,30.7,19.2,26.9,5.4,0.0,181.8,1387,1093.5,,,,,
Derelict Star feat. Ryu*,derelict,A,1296,116.9,18.4,10.9521,3.0,150.0,150.0,1.0,40.0,55.6,35.7,13.7,24.4,12.1,9.7,191.2,1290,1045.0,,,,,
DESIRE,desire,A,1369,112.54,19.2,12.0319,2.2,175.0,175.0,1.0,57.3,46.0,43.3,6.7,13.2,6.9,0.0,173.4,1369,1084.5,,,,,
Destiny Sword,dstsword,A,1023,100.74,13.4,10.0238,1.8,155.0,155.0,1.0,54.5,32.6,33.6,18.4,32.3,8.1,0.0,179.5,1023,911.5,,,,,
Devilz Sacrifice-贖罪の羊-,dvl_sacr,A,1265,105.43,16.0,11.9038,2.2,175.0,175.0,1.0,43.7,42.7,48.3,20.8,35.9,4.7,11.5,207.6,1261,1030.5,,,,,
diagram,diagram,A,1461,126.43,16.2,11.4551,4.8,112.0,112.0,1.0,77.5,46.1,65.7,14.9,93.6,13.6,0.0,311.4,1461,1130.5,,,,,
DIAMOND JACKAL,diajackl,A,1313,107.39,19.0,12.1148,5.4,115.0,230.0,2.0,52.9,53.8,38.5,20.4,71.0,13.9,0.0,250.5,1313,1056.5,,,,,
Digitank System,digitank,A,753,116.37,13.8,7.0321,7.0,128.0,128.0,1.0,14.1,31.1,8.9,6.8,12.9,65.5,0.0,139.3,753,753,,,,,
DISAPPEAR feat. koyomin,disapear,A,1400,119.17,19.4,11.7966,4.8,145.0,145.0,1.0,84.4,39.3,72.3,14.1,39.2,19.8,5.2,274.3,1394,1097.0,,,,,
Discloze,discloze,A,1331,118.36,16.4,11.1782,2.2,120.0,145.0,1.2083,60.6,49.9,58.5,12.8,30.5,9.1,1.3,222.7,1329,1064.5,,,,,
DISPARATE,disparat,A,1243,106.88,16.8,11.4785,5.4,200.0,200.0,1.0,25.9,34.9,11.9,6.4,23.7,16.5,0.0,119.3,1243,1021.5,,,,,
Divine Heaven,divinehv,A,1503,121.7,18.4,12.2049,3.2,150.0,150.0,1.0,54.4,58.9,40.5,24.5,35.0,5.1,26.7,245.1,1483,1141.5,,,,,
Do it!! Do it!!,doit_emp,A,987,108.85,18.6,9.2381,6.0,300.0,300.0,1.0,45.4,42.0,47.6,51.6,120.3,16.6,0.0,323.5,987,893.5,,,,,
DREAM OF SPACE UFO ABDUCTION,dreamufo,A,1371,119.14,17.6,11.39,1.4,140.0,140.0,1.0,72.0,46.8,75.8,24.2,44.9,2.1,0.0,265.8,1371,1085.5,,,,,
DROP,drop,A,1337,115.36,20.2,11.4672,1.4,152.0,152.0,1.0,64.0,40.5,67.0,31.3,34.2,4.0,0.0,241.0,1337,1068.5,,,,,
Drop It,dropit,A,1279,114.68,17.2,12.3243,4.4,155.0,155.0,1.0,59.2,26.2,64.3,62.1,62.6,17.5,7.7,299.6,1266,1033.0,,,,,
Echoes of Sunfall,esunfall,A,1518,115.59,20.0,13.0172,3.6,160.0,160.0,1.0,72.3,52.7,59.1,16.2,23.1,8.9,6.8,239.1,1513,1156.5,,,,,
EDEN,eden,X,1309,120.0,14.6,10.7835,1.2,200.0,200.0,1.0,7.7,60.7,7.6,0.7,6.8,4.1,0.0,87.6,1309,1054.5,,,,,
Egret and Willow,egretwil,A,1372,127.35,16.2,10.7031,2.0,196.0,196.0,1.0,23.1,47.0,19.3,5.1,14.2,9.4,0.0,118.1,1372,1086.0,,,,,
Eine Haube ～聖地の果てにあるもの～,einehaub,A,1321,107.29,21.4,12.2241,1.4,170.0,170.0,1.0,63.0,52.1,63.3,13.6,36.1,3.2,0.0,231.3,1321,1060.5,,,,,
Element of SPADA,elespada,X,1097,126.0,12.8,8.6252,0.6,170.0,170.0,1.0,10.0,51.4,9.8,0.0,1.8,1.7,16.9,91.6,1072,936.0,,,,,
Elisha,elisha,A,944,120.65,15.2,7.7554,1.0,185.0,185.0,1.0,17.1,26.5,11.1,2.0,16.7,2.3,39.1,114.8,906,853.0,,,,,
ELYSIUM,elysium,A,1377,111.48,18.6,12.3495,3.8,183.0,183.0,1.0,25.3,56.6,21.3,3.5,15.5,14.8,15.8,152.8,1361,1080.5,,,,,
Emera,emera,A,1179,104.35,18.0,11.325,3.6,161.0,161.0,1.0,36.1,51.9,34.5,16.9,28.9,13.1,18.5,199.9,1168,984.0,,,,,
Empire State Glory,empstate,A,1329,113.76,15.8,11.5596,3.4,173.0,173.0,1.0,57.5,38.6,44.8,3.1,10.3,6.4,0.0,160.7,1329,1064.5,,,,,
Energy Drive,engdrive,A,1101,120.09,17.4,9.1533,1.0,170.0,170.0,1.0,48.1,35.6,38.6,13.4,27.0,2.7,41.8,207.2,1068,934.0,,,,,
Engraved Mark,engraved,A,1145,109.79,14.4,10.3891,3.2,188.0,188.0,1.0,27.3,26.2,25.1,22.4,31.5,16.8,0.0,149.3,1145,972.5,,,,,
Ergosphere,ergosphr,A,1391,105.88,18.2,13.0736,0.8,170.0,170.0,1.0,56.0,56.3,57.7,10.1,21.9,2.2,45.5,249.7,1335,1067.5,,,,,
Erosion Mark,erosion,A,1042,111.25,14.4,9.2857,1.8,192.0,192.0,1.0,16.9,30.9,11.1,3.7,17.7,7.8,0.0,88.1,1042,921.0,,,,,
everlastingeuphoria:,evereuph,A,1243,112.09,17.0,10.9823,3.8,165.0,165.0,1.0,77.2,36.2,74.5,32.7,38.1,6.3,0.0,265.0,1243,1021.5,,,,,
examination leave,exaleave,A,1546,109.33,18.4,15.458,1.0,180.0,180.0,1.0,40.5,94.3,37.2,3.7,23.9,2.5,0.0,202.1,1546,1173.0,,,,,
